OBJECTID,SPECIES_CD_1,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_VOL_PER_HA_SPP1_125
2440,CW,257,16.1000004,73.194
2441,HW,307,32.2000008,325.17
2442,CW,277,22.2000008,125.137
2443,CW,217,12.1000004,21.632
2444,PLC,117,1.5,0
2445,HW,23,8,4.047
2446,CW,307,15.1000004,49.873
2447,CW,237,14.1999998,34.571
2448,CW,247,15.1999998,65.262
2449,CW,332,11.1000004,3.336
2450,CW,217,18.2000008,83.202
2451,PLC,117,2,0
2452,CW,3,0.4,0
2453,DR,31,19.1000004,152.561
2454,HW,18,5.5999999,0
2455,HW,27,10.3999996,20.803
2456,PLC,107,8.3999996,7.472
2457,CW,267,20.2000008,119.381
2458,CW,328,28.1000004,242.726
2459,HW,257,33.2999992,492.963
2460,SS,307,43.2999992,649.126
2461,HW,267,30.2999992,347.953
2462,CW,257,11.1000004,0.432
2463,CW,247,26.2999992,152.13
2464,CW,277,28.2999992,162.219
2465,CW,247,27.2999992,193.77
2466,PLC,117,2,0
2467,CW,357,22.1000004,98.531
2468,HW,357,32.2000008,260.874
2469,CW,237,15.1999998,82.4
2470,PLC,137,1.5,0
2471,PLC,107,1.5,0
2472,CW,237,15.1999998,28.372
2473,PLC,122,2.5,0
2474,CW,237,19.2000008,111.79
2475,SS,32,17.1000004,185.286
2476,CW,257,19.2000008,86.382
2477,YC,353,13,82.351
2478,HW,247,19.2000008,142.788
2479,HW,217,24.2999992,130.866
2480,CW,267,19.2000008,106.993
2481,CW,207,4,0
2482,CW,307,28.2000008,128.293
2483,CW,267,25.2000008,163.373
2484,HW,19,6.4000001,0
2485,CW,287,21.2000008,113.628
2486,HW,367,43.2000008,349.774
2487,HW,297,31.2000008,368.922
2488,SS,260,48.5999985,699.307
2489,HW,267,33.2999992,414.567
2490,HW,187,25.3999996,195.379
2491,DR,36,19.5,120.003
2492,CW,357,24.1000004,110.234
2493,PLC,147,2,0
2494,HW,327,36.2000008,341.298
2495,,0,0,0
2496,CW,277,26.2000008,110.644
2497,CW,227,21.2000008,145.114
2498,PLC,117,2.5999999,0
2499,CW,257,8.1000004,0
2500,CW,332,22.1000004,104.331
2501,CW,207,21.2000008,128.809
2502,SS,267,41.2999992,665.188
2503,CW,277,25.2000008,188.686
2504,CW,177,22.2999992,128.912
2505,PLC,107,1.5,0
2506,CW,127,22.6000004,136.711
2507,HW,34,13.6000004,89.506
2508,CW,267,26.2000008,181.196
2509,HW,237,26.2999992,254.659
2510,HW,27,10.3999996,13.862
2511,CW,247,23.2000008,146.734
2512,CW,307,28.2000008,226.335
2513,CW,282,17.1000004,65.94
2514,SS,9,1.6,0
2515,CW,332,27.2000008,175.269
2516,CW,357,25.1000004,132.74
2517,HW,277,26.2000008,223.415
2518,HW,267,29.2999992,227.141
2519,CW,247,15.1999998,69.789
2520,CW,267,21.2000008,113.655
2521,CW,267,16.2000008,66.867
2522,CW,332,28.2000008,178.21
2523,CW,307,16.1000004,42.471
2524,CW,297,20.1000004,104.002
2525,CW,307,20.1000004,106.168
2526,SS,297,35.2999992,400.084
2527,HW,6,0.9,0
2528,HW,267,30.2999992,219.458
2529,HW,31,11.6999998,56.621
2530,PLC,107,2,0
2531,CW,327,15.1000004,12.501
2532,HW,277,21.2000008,104.438
2533,HW,237,23.2999992,193.641
2534,,0,0,0
2535,PLC,147,2.5,0
2536,HW,4,0.4,0
2537,SS,33,11.3999996,34.719
2538,YC,307,14.1000004,51.544
2539,PLC,107,2,0
2540,CW,217,12.1000004,45.437
2541,PLC,117,10.3999996,0
2542,HW,407,42.2000008,421.842
2543,YC,217,9.1000004,0.321
2544,HW,247,33.2999992,316.112
2545,CW,247,16.2000008,67.945
2546,CW,227,17.2000008,62.779
2547,CW,237,16.2000008,68.319
2548,CW,247,14.1000004,67.905
2549,HW,307,34.2000008,340.394
2550,,0,0,0
2551,CW,267,19.2000008,97.15
2552,CW,247,15.1999998,57.842
2553,HW,257,30.2999992,275.82
2554,CW,332,24.1000004,116.169
2555,CW,277,25.2000008,213.809
2556,PLC,122,2.5,0
2557,HW,23,8.3999996,10.56
2558,,0,0,0
2559,HW,17,5.5999999,0
2560,CW,332,27.2000008,175.269
2561,CW,197,10.1000004,0
2562,SS,247,40.4000015,73.11
2563,HW,307,33.2000008,328.078
2564,HW,5,0.8,0
2565,HW,247,21.2000008,139.064
2566,SS,187,26.6000004,173.762
2567,HW,22,7.5999999,2.716
2568,HW,267,29.2999992,203.283
2569,PLC,107,5.3000002,0
2570,SS,207,35.5,417.583
2571,CW,282,19.2000008,66.671
2572,HW,307,21.2000008,124.763
2573,HW,247,29.2999992,249.834
2574,CW,257,16.1000004,41.788
2575,PLC,127,4.1999998,0
2576,HW,30,13,65.192
2577,HW,307,31.2000008,249.019
2578,HW,247,26.2999992,313.157
2579,CW,307,33.2000008,167.169
2580,CW,332,28.2000008,171.991
2581,CW,257,25.2000008,159.775
2582,YC,267,16.2000008,51.211
2583,HW,197,20.2999992,144.06
2584,CW,277,24.2000008,184.464
2585,PLC,137,2,0
2586,CW,207,9.1000004,2.22
2587,CW,277,26.2000008,97.595
2588,CW,137,6.0999999,0
2589,HW,203,18.1000004,115.445
2590,CW,357,23.1000004,88.35
2591,PLC,107,2,0
2592,HW,287,33.2999992,435.322
2593,HW,107,22.8999996,174.348
2594,HW,267,26.2000008,165.198
2595,SS,543,37.5999985,281.869
2596,HW,357,39.2000008,443.18
2597,HW,267,29.2999992,310.24
2598,HW,257,33.2999992,492.963
2599,SS,157,29.7999992,306.795
2600,HW,12,2.9000001,0
2601,CW,207,12.1000004,4.814
2602,CW,357,24.1000004,116.884
2603,HW,297,33.2000008,354.852
2604,CW,187,18.2000008,54.815
2605,HW,17,5.4000001,0
2606,HW,237,26.2999992,254.659
2607,CW,167,10.1999998,0
2608,YC,307,17.1000004,58.807
2609,HW,332,32.2000008,213.787
2610,HW,187,26.5,322.861
2611,HW,25,18.2999992,116.597
2612,CW,357,20.1000004,94.611
2613,HW,177,25.5,137.539
2614,CW,357,21.1000004,93.655
2615,HW,25,9.3999996,11.266
2616,CW,357,23.1000004,110.876
2617,CW,332,18.1000004,63.775
2618,HW,277,32.2999992,338.622
2619,SS,357,38.2000008,375.93
2620,PLC,117,1.5,0
2621,SS,7,1.1,0
2622,HW,267,29.2999992,271.033
2623,CW,332,25.2000008,150.218
2624,CW,282,19.2000008,85.107
2625,CW,247,22.2000008,81.548
2626,CW,277,27.2000008,154.003
2627,SS,257,35.4000015,414.301
2628,CW,267,19.2000008,88.157
2629,PLC,117,2,0
2630,SS,10,1.8,0
2631,CW,357,30.2000008,196.791
2632,HW,307,32.2000008,334.444
2633,CW,332,20.1000004,87.389
2634,CW,247,20.2000008,70.801
2635,HW,367,36.2000008,448.466
2636,CW,257,14.1000004,18.743
2637,HW,117,16.6000004,105.384
2638,CW,332,27.2000008,92.118
2639,HW,307,38.2999992,495.604
2640,CW,267,17.1000004,68.484
2641,HW,227,14.1999998,39.21
2642,CW,307,20.1000004,73.438
2643,HW,267,29.2999992,203.283
2644,CW,217,13.1999998,7.342
2645,CW,357,20.1000004,73.996
2646,HW,282,32.2999992,286.929
2647,HW,267,24.2000008,183.226
2648,HW,307,34.2000008,365.748
2649,HW,12,3.5,0
2650,CW,217,16.2000008,44.737
2651,CW,287,24.2000008,125.937
2652,HW,197,27.3999996,266.861
2653,CW,277,25.2000008,213.809
2654,PLC,117,2,0
2655,CW,247,19.2000008,86.532
2656,SS,263,41.0999985,510.119
2657,HW,167,16.3999996,100.066
2658,CW,332,24.1000004,133.274
2659,HW,30,13,32.669
2660,,0,0,0
2661,HW,177,24.3999996,218.169
2662,CW,399,20,195.934
2663,HW,267,28.2999992,260.951
2664,CW,277,28.2999992,228.147
2665,HW,38,20.8999996,98.986
2666,YC,247,18.2000008,87.368
2667,HW,12,4.9000001,0
2668,CW,10,1.4,0
2669,CW,162,33.2000008,207.342
2670,CW,267,21.2000008,85.616
2671,HW,197,18.2999992,144.709
2672,HW,277,26.2000008,202.942
2673,HW,277,25.2000008,131.06
2674,CW,253,16.1000004,106.369
2675,PLC,117,2,0
2676,SS,277,38.2999992,442.283
2677,HW,307,24.2000008,153.501
2678,CW,127,7.1999998,0
2679,HW,357,36.2000008,450.887
2680,CW,332,11.1000004,8.09
2681,HW,32,14,48.731
2682,HW,19,6.4000001,0
2683,SS,407,45.0999985,721.19
2684,HW,24,7.6999998,4.248
2685,CW,307,18.1000004,63.523
2686,HW,307,27.2000008,212.184
2687,CW,332,22.1000004,149.461
2688,CW,332,22.1000004,101.692
2689,HW,247,27.2999992,192.375
2690,SS,227,36.5,425.894
2691,CW,247,19.2000008,102.392
2692,CW,357,27.2000008,154.185
2693,PLC,117,2.5999999,0
2694,CW,332,21.1000004,94.692
2695,CW,332,26.2000008,116.612
2696,YC,287,13.1000004,39.479
2697,HW,357,39.2000008,625.704
2698,CW,267,25.2000008,187.683
2699,HW,332,28.2000008,212.893
2700,CW,332,26.2000008,133.921
